profile	name	stics.name	unit	definition
zones	totalNitrogenLeachingBottom	NA	kg N ha-1	Total of nitrogen from bottom leaching in the zone
zones	totalNitrogenLeachingWaterTable	NA	kg N ha-1	Total of nitrogen from wate table leaching in the zone
zones	totalNitrogenAddedByWaterTable	NA	kg N ha-1	Total of nitrogen added by water table in the zone
zones	totalNitrogenImmobilisation	NA	kg N ha-1	Total of nitrogen immobilisation in the zone
zones	totalNitrogenVolatilisation	NA	kg N ha-1	Total of nitrogen volatilisation in the zone
zones	totalNitrogenVolatilisationOrganic	NA	kg N ha-1	Total of nitrogen organc volatilisation in the zone
zones	totalBiomassRestitution	NA	t ha-1	Total of biomass restitution in the zone
zones	totalCarbonResidus	NA	kgC.ha-1	Total of carbon residus in the zone
zones	totalNitrogenResidus	NA	kgN.ha-1	Total of nitrogen residus in the zone
zones	totalTreeCarbonFoliageLitter	NA	kg C ha-1	Total of carbon from trees leaves litter in the zone
zones	totalTreeCarbonBranchesLitter	NA	kg C ha-1	Total of carbon from trees branches litter in the zone
zones	totalTreeCarbonFruitLitter	NA	kg C ha-1	Total of carbon from trees fruits litter in the zone
zones	totalTreeCarbonFineRootsLitter	NA	kg C ha-1	Total of carbon from trees fine roots litter in the zone
zones	totalTreeCarbonCoarseRootsLitter	NA	kg C ha-1	Total of carbon from trees coarse roots litter in the zone
zones	totalTreeNitrogenBranchesLitter	NA	kg N ha-1	Total of nitrogen from trees branches litter in the zone
zones	totalTreeNitrogenFruitLitter	NA	kg N ha-1	Total of nitrogen from trees fruits litter in the zone
zones	totalTreeNitrogenFoliageLitter	NA	kg N ha-1	Total of nitrogen from trees leaves litter in the zone
zones	totalTreeNitrogenFineRootsLitter	NA	kg N ha-1	Total of nitrogen from trees fine roots litter in the zone
zones	totalTreeNitrogenCoarseRootsLitter	NA	kg N ha-1	Total of nitrogen from trees  coarse roots litter in the zone
zones	totalCarbonHumusStock	NA	kg C ha-1	Total amount of carbon (active + inactive) in the soil humus pool of the zone
zones	totalActiveCarbonHumusStock	NA	kg C ha-1	Total of active carbon in the soil humus pool of the zone
zones	totalInactiveCarbonHumusStock	NA	kg C ha-1	Total of inactive carbon in the soil humus pool of the zone
zones	totalNitrogenHumusStock	NA	kg N ha-1	Total  of nitrogen (active + inactive) in the soil humus pool of the zone
zones	totalActiveNitrogenHumusStock	NA	kg N ha-1	Total of active nitrogen in the soil humus pool of the zone
zones	totalInactiveNitrogenHumusStock	NA	kg N ha-1	Total of inactive nitrogen in the soil humus pool of the zone
